4yXbt6,game,4,12621851,15359087,11572490,13154852;13154852,5188057,,14400263,13276412,0,5175639,0,0,0
jtgtt6,broadcast,default,12622091,16168922,13253213,13245200,9946512,,12339347;12339347,12279707,17317955,5606395,0,0,0
KWDcCJ,broadcast,default,15594638,14398094,15756542,12617069,14677715,2215506,7136755;13538642,12279560,2996635,6210389;6210389;6210389;6210389;6210389,0,0,0
p6sXsY,graphics,cinema 4D,16872089,17552015,13059749,4573552;4573552,9515871,,7395157,12001715,9964230,0,0,0,0
LzYgXL,game,4,11308485,14446823,11223594,13245200,14677715,6054164,7136788,13299434,15333881,0,0,0,0
4r68TW,game,4,13753448,14741960,13844039,6935857,13854197,,13161338,11404068,11732726,0,0,0,0
x4qp99,broadcast,default,12622091,16734569,13059749,13245200,14915009,,13538642,13152452,17317955,10103766;10103766;10103766;10103766,0,0,0
pXPV3C,game,4,15594638,14561216,15614984,17543522,14677214,,12339347;12339347;13538642,17661059,17317955,10103766;10103766;5726615,0,0,0
XKBcCJ,game,3,13753448,13654145,14105573,13401038,14677715,,16587515,2121268,12797411,0,0,0,0
vP3Zxr,game,5,13619981,14398400,13363700,13154852;13154852;13154852;13154852,9435804,12834410,12660128;12497453,13490054,7639102,6210389;6210389;6210389;6210389;6210389;6210389,0,0,0
CNQD4D,game,4,12621851,16916114,15468128,11431083,13853267,,13161338;13161338;13161338;13161338,15043808,15245648,0,0,0,0
2XPV3C,game,3,16741349,15427364,12276464,9805746,9946512,2215506,,9234180,0,0,0,0,0
hhy48d,game,5,15594887,16986743,15615392,16239491,16874015,,12339347;13538642,6105076,14542511,8219461;8219461,0,0,0
gGGqqs,game,3,12621851,12821576,12481742,6233970,9946512,,7136788,14296943,8918600,5606395,0,0,0
pCbhP6,work,default,14927759,0,12617309,6233946;6233946,9287271,6521135,13562714,12279560,17317955,14102324,0,0,0
G9JfrH,broadcast,default,12622091,14896601,8514591,13244459;13244459,5524355,2215506;2215506,7176214;13538642,13299434,12797411,4401981;4401981;4402076;10103766;10103766,0,0,0
vbXbt6,game,5,12621851,14379920,15359960,9470868,7338562,,13190573;14409308,7706725,15334091,17739971;17739971,0,0,0
YkdD4D,game,4,15594446,17571923,15867335,15988694;15988694;15988694;15988694,13854197,,13672238;13190573;13190573,11884168,6227740,14650724;14650724;14650724;14650724;14648102;14648102;14648102;14648102,0,0,0
zQZZxr,game,4,16101326,16348940,16357988,10389018,13854197,,14400263,17560295,17559470,0,0,0,0
rNQD4D,game,4,13753598,14444267,14978957,6233876,11481840,13522751,12339347,8808818,4716604,0,0,0,0
mw68TW,broadcast,default,12622091,16916114,15156329,13245200,9435804,15016688,12446249,12279560,9964230,2482896;2482896;2482896;2482896,0,0,0
X8YgXL,game,4,12621851,16509977,9473076,13245200,14677715,,12339347;14803520,6318315,17317955,0,0,0,0
vr68TW,game,3,12621851,14753852,11684642,4571543,14677214,13522751,16587548,12279560,0,0,0,0,0
DYTJ7P,broadcast,default,15594887,16742315,15614984,16875464,5181099,,12339347,13152539,17317955,5606395;5606395,0,0,0
VV68TW,work,default,11489973,14990954,13696388,11431059,13854431,,10120467,12279560,6537512,10419585;10270584,0,0,0
JLJfrH,game,3,12621851,13646039,11824639,13401038,6733966,,11097639;9516549;6856051,4054633,5592415,0,0,0,0
dkdD4D,game,3,16101353,15428156,16357988,13401038,13854197,,15796520,12279560,15969608,14102324,0,0,0
wBbhP6,game,3,15594263,13723676,16167980,13245200,14677715,,16587515,12279560,12797411,14102324,0,0,0
jzYgXL,game,4,12621851,14896601,8508369,13154852;13154852;13154852;13154852,9515844,,12339347,9234705,10467333,0,0,0,0
yCbhP6,game,4,16101353,13149614,16357988,9805746,13853267,,7136722;7136788,12751874,17640323,0,0,0,0
