N0024,design,adobe photoshop,16101464,15424607,16248347,11790199;11790199,12364757,,13161353,12053192,16777664,0
N0025,design,adobe photoshop,16101581,15424607,16248347,11790199;11790199,12364757,,13161353,12890831,16777664,0
N0028,video,adobe premier pro,16140809,16301489,16248347,11790199;11790199,11941214,,12339347,12964061,16402088,0
N0029,video,adobe aftereffect,15594701,16301489,15612338,11790199;11790199,10550649,,12339347,15558575,16402052,0
N0030,video,adobe premier pro,15594887,16301489,15612338,11790199;11790199,10550649,,12339347,11577722,16402052,0
N0031,video,adobe aftereffect,12836186,16301489,15200798,11790199;11790199,10550649,,12339347,11577749,16402088,0
N0032,video,adobe premier pro,12837425,16301489,15200798,11790199;11790199,10550649,,12339347,12086015,16402088,0
N0033,game,1,16101179,11189739,12077012,11541857;11541857,10550649,,13344977,13381619,,0
N0034,game,2,16101353,11189739,12077012,11541857;11541857,11941214,,13344977,13381634,16181519,0
N0035,game,2,12625265,11189739,16358978,11541857;11541857,10550649,,13344977,10152003,16181519,0
N0036,game,2,16101179,9790461,12077012,11541857;11541857,10550649,,13344977,6068866,,0
N0037,game,2,16101353,9790461,12077012,11541857;11541857,10550649,,13344977,12491429,16181519,0
N0038,game,2,12625265,9790461,11649263,11541857;11541857,10550649,,13344977,13429067,16181519,0
N0039,game,2,16101179,15422960,12077012,11541857;11541857,10550649,,13344977,13243346,,0
N0040,game,2,16101353,15422960,12077012,11541857;11541857,11941214,,13344977,12013670,16181519,0
N0041,game,2,12625265,15422960,16358978,11541857;11541857,10550649,,13344977,11626910,16181519,0
N0042,game,3,16101179,15871949,12077012,11541857;11541857,10550649,,13344977,8608640,,0
N0043,game,3,16101179,16301489,12077012,11541857;11541857,11650160,,13344977,14916101,,0
N0044,game,3,16101353,16301489,12077012,11541857;11541857,11650160,,13344977,10214103,16181519,0
N0045,game,3,12625265,16301489,11649263,11541857;11541857,11650160,,13344977,11742158,16181519,0
N0046,game,3,16101179,13470908,12077012,11541857;11541857,11650160,,13344977,11805580,,0
N0047,game,3,16101353,15302858,12077012,11541857;11541857,13934357,,13344977,11742176,16181519,0
N0048,game,3,16101464,13470908,11649263,11541857;11541857,11650160,,13344977,11577722,9434946,0
N0049,game,3,16156310,13470908,15639767,11541857;11541857,11650160,,13344977,11577749,9870876,0
N0050,game,3,12625265,13470908,16358978,11541857;11541857,11650160,,13344977,13381619,16181519,0
N0051,game,3,12837425,13470908,15200798,11541857;11541857,11650160,,13344977,12964061,9870876,0
N0052,game,4,16101464,14967074,16248347,11541857;11541857,11650160,,13344977,11884168,9434946,0
N0053,game,4,16156310,14967074,15639767,11541857;11541857,11650160,,13344977,11884207,9870876,0
N0054,game,4,12837425,14967074,15200798,11541857;11541857,11650160,,13344977,12576551,16777664,0
N0055,game,4,16101179,16288661,12077012,11541857;11541857,10550649,,13344977,13381619,,0
N0056,game,4,16101353,16288661,12077012,11541857;11541857,11941214,,13344977,13381634,16181519,0
N0057,game,4,12625265,16288661,16358978,11541857;11541857,10550649,,13344977,15738686,16181519,0
N0058,game,4,16101179,15427364,12077012,11541857;11541857,10550649,,13344977,8608640,,0
N0059,game,4,12625265,15427364,12464213,11541857;11541857,10550649,,13344977,15309809,16181519,0
N0060,game,2,15594446,11189739,16103219,11541857;11541857,10550649,,13344977,12655640,17220398,0
N0061,game,2,15594446,9790461,16103219,11541857;11541857,10550649,,13344977,12890831,17220398,0
N0062,game,2,15594446,15422960,16103219,11541857;11541857,10550649,,13344977,12053192,17220398,0
N0063,game,3,15594446,15871949,16103219,11541857;11541857,10550649,,13344977,14597915,17220398,0
N0064,game,3,15594446,16301489,16103219,11541857;11541857,10550649,,13344977,14597894,17220398,0
N0065,game,4,15594446,12821741,16103219,11541857;11541857,10550649,,13344977,14609939,,0
N0066,game,2,15594446,9788790,16103219,11541857;11541857,10550649,,13344977,12634292,,0
N0067,game,4,15594446,15021752,16103219,11541857;11541857,10550649,,13344977,13270577,,0
N0068,game,4,15594446,14978270,16103219,11541857;11541857,10550649,,13344977,12634292,,0
