S0049,game,3,16101353,14824829,16089554,11790199;11790199,12397271,6288809,13161353,9376491,14494643,
S0050,game,3,16101353,14824829,16089554,11790199;11790199,12397271,6288809,13161338,14017445,14494643,
S0051,broadcast,default,12625265,16231076,12464213,11541857;11541857,12397211,6288798,13161353,16185371,0,
S0052,video,vegas pro,12625265,16313996,12464213,11541857;11541857,12397271,6288798,13161353,16821380,0,
S0053,graphics,rhinoceros,16101353,16047968,16089554,11541857;11541857,12397334,,13161338,16729808,16208849,
S0054,design,adobe indesign,16101179,9944580,16134524,11541857;11541857,12397211,6288798,13161353,16265933,0,
S0055,game,5,16101464,14942981,16406390,11790199;11790199,16188995,6288809,13161338,14017445,15902627,
S0056,video,adobe aftereffect,12625265,16309970,12464213,11790199;11790199,12397271,6288809,13161338,16821380,14494643,
S0057,graphics,cinema 4D,12625265,14824829,12464213,11790199;11790199,12397271,6288798,13161353,16729808,16208849,
S0058,game,3,16101353,14753852,16089554,11541857;11541857,12397271,6288798,13161353,9850002,14494643,
S0059,game,3,16101353,14459402,16089554,11790199;11790199,12397271,6288798,13161353,16729808,16208849,
S0060,video,adobe premier pro,12625265,14753852,12464213,11790199;11790199,12397271,6288809,13161353,12192788,14494643,
S0061,video,adobe premier pro,12625265,16309970,12464213,11790199;11790199,12397271,6288809,13161353,16900748,14494643,
S0062,broadcast,default,12625265,16225055,12464213,11790199;11790199,12397211,6288798,13161353,9376491,0,
S0063,game,3,16101353,16309970,16168196,11541857;11541857,12397271,,13161338,16265948,16208849,
S0064,broadcast,default,16101464,14753852,16406390,11790199;11790199,12397334,,13161353,12647999,16605650,
S0065,design,adobe photoshop,11876443,,12130286,11541857;11541857,12397211,,13161353,12192788,0,
S0066,game,3,12625265,16309970,12077093,11541857;11541857,12397271,,13161353,16900727,0,
S0067,game,4,12625265,16224779,12464213,11541857;11541857,12397271,6288809,13161338,16265933,16934048,
S0068,game,3,16101179,16309970,16134524,11541857;11541857,12397271,,13161353,11126688,0,
S0069,broadcast,default,16101464,15454757,16406390,11790199;11790199,12397334,6288809,13161338,16821380,15902627,
S0070,game,3,16101353,14953979,16882091,11790199;11790199,12397271,6288798,13161353,16265948,14494643,
S0071,broadcast,default,16101464,12822224,16406390,11790199;11790199,12397334,6288809,13161338,16900748,15902627,
S0072,work,default,11876443,,11573573,11541857;11541857,12397211,,13161353,16729808,0,
S0073,game,3,16101353,16309970,16670201,11790199;11790199,12397271,6288809,13161353,11226336,16046945,
S0074,broadcast,default,16101464,15454757,16406390,11790199;11790199,12397334,15687695,13161338,9000344,15902627,
S0075,graphics,v-ray,16101353,15428015,16670201,11790199;11790199,12397271,6288798,13161353,9376491,14494643,
S0076,graphics,v-ray,12625265,15446684,12464213,11541857;11541857,12397271,6288798,13161353,16729808,16208849,
S0077,broadcast,default,12836186,14953979,16358978,11790199;11790199,12397271,6288809,13161353,16813160,16755236,
S0078,game,3,16140809,14753852,16168394,11790199;11790199,12397334,,,16729808,16605650,
S0079,video,movavi,16101353,15454757,16089554,11790199;11790199,12397334,6288809,13161338,16265948,14494643,
S0080,game,4,12625265,16248074,12077093,11541857;11541857,12397211,6288798,13161353,16265948,14494643,
S0081,game,3,16101353,14953979,16670201,11541857;11541857,12397271,6288798,12338942,10285407,14494643,
S0082,game,3,16101179,16248074,16333064,11541857;11541857,12397211,,13161353,10289943,0,
S0083,game,3,16101353,14953979,16089554,11790199;11790199,12397271,6288809,13161353,12192788,14494643,
S0084,game,3,16101353,16248074,16168394,11541857;11541857,12397211,6288798,13161353,16729808,16208849,
S0085,game,2,16101353,9790371,16089554,11541857;11541857,12397271,,13161353,16265948,14494643,
S0086,game,3,12625265,13467581,11574458,13154852;13154852,,,13161353,16298132,14110475,
S0087,video,adobe aftereffect,12625265,14459492,12464213,11541857;11541857,12397271,,13161353,15213785,16208849,
S0088,graphics,v-ray,16101179,15428015,16134524,11541857;11541857,12397271,6288798,13161353,16265948,0,
S0089,graphics,lumion,16140809,15454757,16406390,11790199;11790199,12397334,6288809,13161353,14017445,16853699,
S0090,game,4,16101353,15454757,16089554,11790199;11790199,12397334,,13161353,10285407,14494643,
S0091,game,4,16101353,15454757,16089554,11790199;11790199,12397334,,13161353,11226336,14494643,
S0092,game,4,16140809,14478284,16406390,11790199;11790199,12397334,6288809,13161338,12212474,16853699,
